query,num_results,top_score,score_range,min_score,max_score,search_mode,execution_time_ms,timestamp
claude loop protocol,10,0.5455541775,0.011872988176470645,0.5336811893235294,0.5455541775,hybrid,2165.9832920413464,2026-01-28T01:18:04.142819
RAG compliance monitoring,10,0.5553046309285714,0.03357367142857137,0.5217309595,0.5553046309285714,hybrid,27.759167016483843,2026-01-28T01:18:04.170598
agent catalog,10,0.5601644727058823,0.023462310205882297,0.5367021625,0.5601644727058823,hybrid,45.57158297393471,2026-01-28T01:18:04.216185
memoria skill usage,10,0.5902993163793103,0.02839306274294673,0.5619062536363636,0.5902993163793103,hybrid,40.07662506774068,2026-01-28T01:18:04.256276
MCP tool decision tree,10,0.6220063483333332,0.04603601383333322,0.5759703345,0.6220063483333332,hybrid,39.90254201926291,2026-01-28T01:18:04.296193
specialized agent workers,10,0.5623249336666667,0.022491362555555616,0.5398335711111111,0.5623249336666667,hybrid,35.76070803683251,2026-01-28T01:18:04.331969
query tracking system,10,0.5280688781707317,0.02107781944732745,0.5069910587234042,0.5280688781707317,hybrid,26.319665950722992,2026-01-28T01:18:04.358304
task-specific AI assistants,10,0.5540642915384615,0.041839377705128133,0.5122249138333334,0.5540642915384615,hybrid,25.14699997846037,2026-01-28T01:18:04.383466
commit search with embeddings,10,0.49766194633800703,0.027660116838007065,0.47000182949999997,0.49766194633800703,hybrid,43.074749992229044,2026-01-28T01:18:04.426561
autonomous coding agents,10,0.5530088280560841,0.009925115556084108,0.5430837125,0.5530088280560841,hybrid,23.67512497585267,2026-01-28T01:18:04.450249
how to use skills,10,0.6414625508333333,0.052797708333333304,0.5886648425,0.6414625508333333,hybrid,21.878791972994804,2026-01-28T01:18:04.472142
agent communication patterns,10,0.5590532947891567,0.016144403789156714,0.542908891,0.5590532947891567,hybrid,21.33745898026973,2026-01-28T01:18:04.493494
ChromaDB integration,10,0.5253149530769231,0.030457499076923134,0.494857454,0.5253149530769231,hybrid,21.071417024359107,2026-01-28T01:18:04.514578
git history search,10,0.6420374953846154,0.021337588168399146,0.6206999072162163,0.6420374953846154,hybrid,24.30825005285442,2026-01-28T01:18:04.538900
workflow automation,10,0.6431812363333332,0.09790672307246373,0.5452745132608695,0.6431812363333332,hybrid,22.749458090402186,2026-01-28T01:18:04.561665
docker,10,0.669197134,0.024968980176470534,0.6442281538235295,0.669197134,hybrid,29.68783408869058,2026-01-28T01:18:04.591370
compliance report format daily monitoring,10,0.5278093607142856,0.012424514490881444,0.5153848462234042,0.5278093607142856,hybrid,24.383791955187917,2026-01-28T01:18:04.615773
xyz123notfound,10,0.506294131,0.02362416349999996,0.4826699675,0.506294131,hybrid,42.24341607186943,2026-01-28T01:18:04.658031
agent,10,0.5709507543181819,0.006805132132135405,0.5641456221860465,0.5709507543181819,hybrid,40.06675002165139,2026-01-28T01:18:04.698113
troubleshooting failed tests,10,0.59759712,0.060251626,0.537345494,0.59759712,hybrid,24.208374903537333,2026-01-28T01:18:04.722336
